location,height
BNP-01,4.5
BNP-02,7.25
BNP-03,7.5
BNP-04,8.1
BNP-05,7.35
BNP-06,7.1
BNP-07,7.15
BNP-08,7.6
BNP-09,7.5
BNP-10,7.3
BNP-11,7.5
BNP-12,8.4
BNP-13,7.5
BNP-14,7.16
BNP-15,7.1
BNP-16,8.2
BNP-17,7.5
BNP-18,7.08
BNP-19,7.5
BNP-20,7.75
BNP-21,7.8
BNP-22,7.35
BNP-23,7.35
BNP-24,7.5
BNP-25,7
BNP-26,7.4
BNP-27,7.2
BNP-28,7.4
BNP-29,8.1
BNP-30,7.25
BNP-31,7.7
BNP-32,7.1
BNP-33,7
BNP-34,7.1
BNP-35,7.8
BNP-36,7.7
BNP-37,7.4
BNP-38,7.3
BNP-39,7.4
BNP-40,7.4
BNP-41,7.1
BNP-42,7.7
BNP-43,7.4
BNP-44,7.55
BNP-45,7.5
BNP-46,7.1
BNP-47,7.4
BNP-48,7.45
BNP-49,7.1
BNP-50,6.5